#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	1623365	230294483	92.5039	64.6707	44.7	55.8
chr10	1	133797422	910348	132859858	99.2993	67.7966	44.4	57.1
chr11	1	135086622	881806	134512343	99.5749	65.1937	44.2	58.3
chr12	1	133275309	875018	133108182	99.8746	65.3037	44.4	58.6
chr13	1	114364328	638216	97913483	85.6154	55.6207	44.4	58.4
chr14	1	107043718	608895	90515536	84.5594	55.778	44.3	57.1
chr15	1	101991189	561115	84564987	82.914	55.0644	44.5	56.2
chr16	1	90338345	616133	81787304	90.5344	68.8226	44.5	55.3
chr17	1	83257441	546177	82874218	99.5397	65.1302	44.5	56.4
chr18	1	80373285	523532	79946712	99.4693	64.6003	44.4	56.3
chr19	1	58617616	396032	58426832	99.6745	67.7306	44.7	54.9
chr2	1	242193529	1589900	240361920	99.2437	65.3421	44.3	58.6
chr20	1	64444167	452367	63824008	99.0377	69.1568	44.2	55.2
chr21	1	46709983	312600	40045290	85.7318	66.201	43.8	48.5
chr22	1	50818468	353904	39075659	76.8926	59.7019	44.4	44
chr3	1	198295559	1312262	197952318	99.8269	65.4266	44.4	58.7
chr4	1	190214555	1377837	189682569	99.7203	71.867	44.2	54.2
chr5	1	181538259	1209983	181198643	99.8129	65.8702	44.4	57.3
chr6	1	170805979	1124249	170054235	99.5599	65.4076	44.3	58.8
chr7	1	159345973	1042766	158948286	99.7504	65.4864	44.5	57.8
chr8	1	145138636	963074	144712475	99.7064	66.0019	44.4	58.1
chr9	1	138394717	811378	121061134	87.4753	58.3751	44.4	56.1
chrM	1	16569	3232	16569	100	636.461	27.5	59.1
chrX	1	156040895	929302	154824121	99.2202	58.8492	44.1	57.5
chrY	1	57227415	45804	23492577	41.0513	8.42381	43.3	23.1
KI270728.1	1	1872759	9225	1570582	83.8646	45.9414	43.9	29.6
KI270727.1	1	448248	1754	422812	94.3255	37.2505	44.2	15.2
KI270442.1	1	392061	8586	372462	95.001	203.069	43.3	47.6
KI270729.1	1	280839	5116	269772	96.0593	139.116	42.9	29.5
GL000225.1	1	211173	29405	211173	100	1627.73	45.2	28.8
KI270743.1	1	210658	1762	210658	100	76.8747	44	45.3
GL000008.2	1	209709	3690	209709	100	164.652	42.9	43.8
GL000009.2	1	201709	3376	201709	100	174.724	43.6	43.8
KI270747.1	1	198735	1045	198729	99.997	59.2697	44.4	26
KI270722.1	1	194050	1656	194050	100	86.004	43.4	54.1
