#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	40339	184428237	74.0805	1.60242	44.7	55.9
chr10	1	133797422	22993	106605798	79.677	1.71235	44.4	57.1
chr11	1	135086622	21725	106856813	79.1024	1.61348	44.3	58.2
chr12	1	133275309	21873	106239295	79.7142	1.62068	44.4	58.6
chr13	1	114364328	15913	78752771	68.8613	1.39153	44.3	58.2
chr14	1	107043718	15330	72086353	67.3429	1.40223	44.3	57
chr15	1	101991189	14049	66984522	65.6768	1.37909	44.5	56.3
chr16	1	90338345	15327	64941634	71.8871	1.69037	44.4	55.2
chr17	1	83257441	13668	65322488	78.4584	1.63166	44.4	56.3
chr18	1	80373285	13000	62557543	77.8338	1.60314	44.5	56.4
chr19	1	58617616	9731	46717224	79.6983	1.66652	44.7	54.8
chr2	1	242193529	39646	191969758	79.263	1.62245	44.4	58.6
chr20	1	64444167	11140	50449030	78.2833	1.70555	44.3	55.2
chr21	1	46709983	7900	31297953	67.0048	1.65853	44	48.2
chr22	1	50818468	8780	30829110	60.6652	1.4725	44.4	43.9
chr3	1	198295559	32601	156838793	79.0934	1.61609	44.4	58.7
chr4	1	190214555	34435	150566876	79.1563	1.78689	44.2	54.1
chr5	1	181538259	30085	144330943	79.5044	1.63123	44.3	57.3
chr6	1	170805979	28254	136423868	79.8707	1.64803	44.3	58.8
chr7	1	159345973	26016	126927844	79.6555	1.62914	44.5	57.8
chr8	1	145138636	24231	116385987	80.1895	1.64793	44.4	58.1
chr9	1	138394717	20363	95642965	69.1088	1.45778	44.4	56.1
chrM	1	16569	100	16569	100	17.1902	26.9	58.5
chrX	1	156040895	23291	118447631	75.9081	1.48642	44.1	57.6
chrY	1	57227415	1055	4019731	7.02414	0.195422	43	23
KI270728.1	1	1872759	198	941911	50.2954	0.987169	44.4	29.6
KI270727.1	1	448248	43	210071	46.8649	1.05085	44	11.8
KI270442.1	1	392061	219	359456	91.6837	5.29526	43.2	48.3
KI270729.1	1	280839	118	220220	78.415	3.06415	43.6	26.4
GL000225.1	1	211173	726	190987	90.441	41.6966	44.9	29.2
KI270743.1	1	210658	49	159482	75.7066	1.66283	45	42.8
GL000008.2	1	209709	81	170815	81.4533	2.97654	43.6	39.8
GL000009.2	1	201709	77	178324	88.4066	5.0697	46.1	46.5
KI270747.1	1	198735	27	126744	63.7754	1.05723	45.9	22.4
KI270722.1	1	194050	47	186271	95.9912	2.34098	43	52.5
GL000194.1	1	191469	74	191446	99.988	4.64649	44.6	50.7
KI270742.1	1	186739	100	180279	96.5406	4.81611	43.6	37.2
GL000205.2	1	185591	83	149559	80.5853	4.53476	44.5	48.3
GL000195.1	1	182896	48	152772	83.5294	2.80609	45.2	37.7
KI270736.1	1	181920	177	157763	86.7211	11.0193	42	21.1
KI270733.1	1	179772	458	142572	79.3071	20.8284	39.7	21.5
GL000224.1	1	179693	190	174292	96.9943	9.92198	42.4	48.5
GL000219.1	1	179198	56	169123	94.3777	2.95297	44.8	53.4
KI270719.1	1	176845	47	126434	71.4942	2.1847	44.4	39.6
GL000216.2	1	176608	175	176050	99.684	6.34437	43.3	27.7
KI270712.1	1	176043	28	127716	72.5482	1.02587	41.8	31.7
KI270706.1	1	175055	25	124896	71.3467	1.18634	44.1	53.2
KI270725.1	1	172810	41	153202	88.6534	1.74397	43.6	40.7
KI270744.1	1	168472	128	119733	71.07	4.21109	43.4	36.7
KI270734.1	1	165050	54	108171	65.5383	1.9174	45.9	19.9
GL000213.1	1	164239	12	92285	56.1895	0.892961	44.7	34.2
GL000220.1	1	161802	617	129754	80.1931	40.8363	41.3	12.6
KI270715.1	1	161471	15	114160	70.7	0.994922	45.7	19.1
GL000218.1	1	161147	35	138989	86.2498	2.51459	43.1	53.8
KI270749.1	1	158759	49	126380	79.6049	2.6706	41	53.5
KI270741.1	1	157432	14	91519	58.1324	0.650255	43.9	11.3
