#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	80637	220290019	88.4854	3.20267	44.7	55.9
chr10	1	133797422	45917	127031075	94.9428	3.41009	44.5	57.1
chr11	1	135086622	43605	128343737	95.0085	3.23035	44.2	58.2
chr12	1	133275309	43683	127938411	95.9956	3.25892	44.4	58.6
chr13	1	114364328	31889	93470037	81.7301	2.78122	44.4	58.3
chr14	1	107043718	30652	86608148	80.9091	2.79915	44.4	57.1
chr15	1	101991189	28085	80237393	78.6709	2.76756	44.5	56.4
chr16	1	90338345	30735	78005784	86.3485	3.41068	44.4	55.2
chr17	1	83257441	27449	78686816	94.5103	3.28568	44.5	56.3
chr18	1	80373285	26061	75150442	93.5018	3.19179	44.4	56.4
chr19	1	58617616	19694	55750577	95.1089	3.35743	44.7	54.9
chr2	1	242193529	79285	229799922	94.8828	3.25777	44.4	58.5
chr20	1	64444167	22361	60343146	93.6363	3.40486	44.3	55.2
chr21	1	46709983	15743	37393520	80.0547	3.28176	43.9	48.1
chr22	1	50818468	17513	36936298	72.6828	2.95267	44.4	44
chr3	1	198295559	65659	188633397	95.1274	3.27401	44.4	58.7
chr4	1	190214555	68705	181273549	95.2995	3.58734	44.2	54.2
chr5	1	181538259	60033	173126175	95.3662	3.26008	44.3	57.3
chr6	1	170805979	56692	162939026	95.3942	3.31548	44.3	58.8
chr7	1	159345973	52069	151957949	95.3635	3.2631	44.5	57.8
chr8	1	145138636	48409	138608886	95.501	3.31646	44.5	58.1
chr9	1	138394717	40881	114701230	82.8798	2.91821	44.4	56.1
chrM	1	16569	156	16569	100	29.7423	27.1	59
chrX	1	156040895	46515	145584855	93.2992	2.97022	44.1	57.6
chrY	1	57227415	2290	7530783	13.1594	0.435369	43.2	23.2
KI270728.1	1	1872759	410	1266494	67.6272	1.94889	44.2	29.1
KI270727.1	1	448248	94	269420	60.1051	2.22379	43.4	14.2
KI270442.1	1	392061	451	371666	94.798	10.7806	43.3	47.5
KI270729.1	1	280839	244	256640	91.3833	6.12223	43.5	27.7
GL000225.1	1	211173	1517	201493	95.4161	86.9739	45.4	28.6
KI270743.1	1	210658	94	193099	91.6647	3.0145	43.2	40.7
GL000008.2	1	209709	183	203966	97.2614	7.23377	42.5	41.2
GL000009.2	1	201709	166	195336	96.8405	8.62143	45.7	43
KI270747.1	1	198735	63	189807	95.5076	3.34176	43.9	26.5
KI270722.1	1	194050	88	190668	98.2572	4.18833	42.4	52.7
GL000194.1	1	191469	149	191460	99.9953	7.88634	44.1	46.8
KI270742.1	1	186739	177	185880	99.54	8.45194	43.6	37.3
GL000205.2	1	185591	201	164357	88.5587	11.8384	44.2	51.4
GL000195.1	1	182896	102	182268	99.6566	5.93003	44.3	38.4
KI270736.1	1	181920	316	168455	92.5984	18.1951	42.3	20.6
KI270733.1	1	179772	958	170462	94.8212	43.6237	39.9	20.9
GL000224.1	1	179693	400	179279	99.7696	20.052	42.9	46.3
GL000219.1	1	179198	123	175380	97.8694	6.54944	45.3	55.2
KI270719.1	1	176845	82	154322	87.264	4.55639	44.1	42.1
GL000216.2	1	176608	368	176329	99.842	14.3141	43.7	29.4
KI270712.1	1	176043	61	149410	84.8713	2.0363	42	34.8
KI270706.1	1	175055	54	167563	95.7202	2.62964	43.1	49
KI270725.1	1	172810	79	172047	99.5585	4.07889	43.6	46.9
KI270744.1	1	168472	262	153624	91.1867	10.1523	42.8	37.4
KI270734.1	1	165050	149	148716	90.1036	5.38935	45.5	22.6
GL000213.1	1	164239	19	123195	75.0096	1.32669	45.6	37.1
GL000220.1	1	161802	1196	141848	87.6676	76.9971	41.6	12.9
KI270715.1	1	161471	37	145824	90.3097	2.38569	45.7	22.7
GL000218.1	1	161147	76	161013	99.9168	4.98957	44.5	49.9
KI270749.1	1	158759	80	128915	81.2017	4.71202	41.7	54.9
KI270741.1	1	157432	23	116748	74.1577	0.912673	43.1	9.39
GL000221.1	1	155397	129	153277	98.6358	9.31984	45.7	18.5
KI270716.1	1	153799	77	150449	97.8218	7.28111	43.9	12.9
KI270731.1	1	150754	42	116508	77.2835	2.32276	41.8	22.5
KI270751.1	1	150742	166	147711	97.9893	10.5659	42.1	33.5
KI270750.1	1	148850	88	133634	89.7776	4.25366	45.4	43.6
KI270519.1	1	138126	98	135078	97.7933	7.18238	43.7	45.5
GL000214.1	1	137718	240	135357	98.2856	17.8892	43	32.8
KI270708.1	1	127682	37	125825	98.5456	2.99771	44.8	52.4
KI270730.1	1	112551	83	95872	85.1809	4.62801	42.7	23.2
KI270438.1	1	112505	2044	83918	74.5905	169.95	43	32.9
KI270737.1	1	103838	19	60508	58.2715	1.3557	46.2	35.4
KI270721.1	1	100316	7	46175	46.0295	0.492155	45.3	7.86
KI270738.1	1	99375	59	92696	93.279	5.16981	42.9	43.7
KI270748.1	1	93321	21	87173	93.412	2.25193	43.5	23.4
KI270435.1	1	92983	58	92681	99.6752	5.55638	42.8	45.7
GL000208.1	1	92689	37	92622	99.9277	3.76104	46.4	50.6
KI270538.1	1	91309	102	63399	69.4335	9.61475	44.4	48.4
KI270756.1	1	79590	74	77615	97.5185	6.30176	41.7	26.5
KI270739.1	1	73985	7	34304	46.3662	0.589903	44.6	16.6
KI270757.1	1	71251	100	61814	86.7553	11.6389	42.6	39.2
KI270709.1	1	66860	575	66848	99.9821	78.6459	48.6	30.8
KI270746.1	1	66486	75	63961	96.2022	8.67682	42.3	52.5
KI270753.1	1	62944	27	49047	77.9216	4.50451	46	39.6
KI270589.1	1	44474	22	31785	71.4687	2.22964	43.4	26
KI270726.1	1	43739	12	30224	69.1008	2.3153	46.5	51.8
KI270735.1	1	42811	49	42810	99.9977	9.21086	42.9	49.3
KI270711.1	1	42210	23	36114	85.5579	2.05255	47.1	39.9
KI270745.1	1	41891	10	29635	70.7431	0.914946	47.8	21.5
KI270714.1	1	41717	13	37594	90.1167	3.00944	45.1	45.5
KI270732.1	1	41543	34	41540	99.9928	7.59642	43.9	49.4
KI270713.1	1	40745	30	39045	95.8277	4.84565	42.6	49.7
KI270754.1	1	40191	59	39570	98.4549	15.8603	44.3	28.8
KI270710.1	1	40176	14	40169	99.9826	3.39725	44	38.9
KI270717.1	1	40062	8	36071	90.0379	2.15052	42.1	26.1
KI270724.1	1	39555	33	39554	99.9975	4.48373	46	37.3
KI270720.1	1	39050	12	34171	87.5058	1.34896	44.9	46.8
KI270723.1	1	38115	22	30863	80.9734	3.87296	43	42.3
KI270718.1	1	38054	29	36010	94.6287	7.22836	43.8	30.9
KI270740.1	1	37240	1	3671	9.85768	0.0985768	46.5	60
KI270755.1	1	36723	4	18686	50.8836	0.567301	44.4	34.5
KI270707.1	1	32032	9	28398	88.6551	2.51651	41.7	52.7
KI270579.1	1	31033	6	30994	99.8743	2.23891	44.4	14.5
KI270512.1	1	22689	17	22683	99.9736	5.4492	45.6	54.6
KI270322.1	1	21476	1	326	1.51797	0.0151797	32.8	47
GL000226.1	1	15008	168	15008	100	90.0279	45.1	7.53
KI270311.1	1	12399	3	2546	20.5339	0.309864	44.4	33.3
KI270366.1	1	8320	1	633	7.60817	0.0760817	35	17
KI270511.1	1	8127	5	8123	99.9508	3.17756	43	60
KI270448.1	1	7992	4	7992	100	2.81944	44.4	60
KI270521.1	1	7642	4	7641	99.9869	2.95865	37.2	45.2
KI270582.1	1	6504	2	5019	77.1679	0.992005	41.5	44.5
KI270515.1	1	6361	16	6359	99.9686	10.6351	42.5	57.5
KI270588.1	1	6158	4	5964	96.8496	2.34264	36.9	57
KI270591.1	1	5796	6	5795	99.9827	3.15097	33.1	54.5
KI270522.1	1	5674	1	5450	96.0522	0.960522	15.6	49
KI270590.1	1	4685	4	4668	99.6371	1.48559	36	60
KI270584.1	1	4513	1	4500	99.7119	0.997119	47.8	23
KI270320.1	1	4416	4	3971	89.923	2.0317	43	6
KI270382.1	1	4215	1	2680	63.5824	0.635824	48.4	60
KI270468.1	1	4055	1	4042	99.6794	0.996794	46.2	60
KI270467.1	1	3920	1195	3920	100	807.666	43.3	47.7
KI270517.1	1	3253	4	3246	99.7848	2.11282	45.5	58.5
KI270528.1	1	2983	3	908	30.4392	0.446866	44.6	13.7
KI270364.1	1	2855	1	1976	69.2119	0.692119	40.1	13
KI270333.1	1	2699	207	2699	100	129.623	43.6	31.8
KI270411.1	1	2646	1	1347	50.907	0.50907	46.9	36
KI270510.1	1	2415	1	2412	99.8758	0.998758	44	1
KI270375.1	1	2378	1	2357	99.1169	0.991169	49.9	35
KI270420.1	1	2321	1	385	16.5877	0.165877	47.6	22
KI270509.1	1	2318	1	836	36.0656	0.360656	46.9	48
KI270418.1	1	2145	1	849	39.5804	0.395804	18.4	23
KI270417.1	1	2043	2	248	12.139	0.209006	43.8	42
KI270508.1	1	1951	1	824	42.2348	0.422348	48.8	60
KI270303.1	1	1942	1	1596	82.1833	0.821833	47.8	1
KI270529.1	1	1899	1	152	8.00421	0.0800421	22.3	20
KI270363.1	1	1803	1	344	19.0793	0.190793	49.5	20
KI270465.1	1	1774	1	1473	83.0327	0.830327	37.3	31
KI270384.1	1	1658	1	460	27.7443	0.277443	32.3	30
KI270330.1	1	1652	6	1652	100	4.12349	44.6	31
KI270340.1	1	1428	1	531	37.1849	0.371849	46.9	60
KI270338.1	1	1428	1	1387	97.1289	0.971289	48.4	1
KI270583.1	1	1400	1	760	54.2857	0.542857	52	47
KI270334.1	1	1368	1	1297	94.8099	0.948099	39.9	60
KI270516.1	1	1300	3	1300	100	2.99462	44.6	60
KI270466.1	1	1233	111	1233	100	69.6561	42.5	43.6
KI270544.1	1	1202	1	378	31.4476	0.314476	50.4	1
KI270337.1	1	1121	43	1118	99.7324	19.6806	42.2	22.8
KI270336.1	1	1026	31	1026	100	13.192	42.2	14.6
KI270317.1	1	37690	0	0	0	0	0	0
KI270752.1	1	27745	0	0	0	0	0	0
KI270581.1	1	7046	0	0	0	0	0	0
KI270507.1	1	5353	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270593.1	1	3041	0	0	0	0	0	0
KI270587.1	1	2969	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270414.1	1	2489	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270518.1	1	2186	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270304.1	1	2165	0	0	0	0	0	0
KI270424.1	1	2140	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270396.1	1	1880	0	0	0	0	0	0
KI270386.1	1	1788	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270580.1	1	1553	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270422.1	1	1445	0	0	0	0	0	0
KI270316.1	1	1444	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270393.1	1	1308	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270388.1	1	1216	0	0	0	0	0	0
KI270310.1	1	1201	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270395.1	1	1143	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270335.1	1	1048	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270423.1	1	981	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
