#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	406068	230114823	92.4318	16.186	44.7	55.9
chr10	1	133797422	228317	132433264	98.9804	17.0135	44.4	57.1
chr11	1	135086622	219408	134436655	99.5189	16.2664	44.2	58.3
chr12	1	133275309	217935	133081449	99.8545	16.2662	44.4	58.5
chr13	1	114364328	159550	97838341	85.5497	13.8685	44.4	58.4
chr14	1	107043718	152516	90417503	84.4678	13.9476	44.3	57.1
chr15	1	101991189	140569	84337814	82.6913	13.8094	44.5	56.2
chr16	1	90338345	153329	81684603	90.4207	17.1139	44.4	55.3
chr17	1	83257441	136596	82648799	99.269	16.2479	44.5	56.4
chr18	1	80373285	130891	79547784	98.9729	16.1466	44.4	56.3
chr19	1	58617616	98814	58370977	99.5792	16.8102	44.7	54.9
chr2	1	242193529	397239	240018618	99.102	16.3667	44.4	58.6
chr20	1	64444167	112948	63506792	98.5454	17.3	44.2	55.3
chr21	1	46709983	78124	39831273	85.2736	16.5198	43.8	48.5
chr22	1	50818468	88390	38904701	76.5562	14.9452	44.4	44
chr3	1	198295559	327376	197488491	99.593	16.3148	44.4	58.7
chr4	1	190214555	343444	189443891	99.5948	17.8946	44.2	54.2
chr5	1	181538259	301354	181064106	99.7388	16.4155	44.3	57.3
chr6	1	170805979	281492	169967140	99.5089	16.4191	44.3	58.8
chr7	1	159345973	261209	158885434	99.711	16.4156	44.5	57.8
chr8	1	145138636	241090	144542621	99.5893	16.5062	44.4	58.1
chr9	1	138394717	203288	120580241	87.1278	14.6092	44.4	56.1
chrM	1	16569	807	16569	100	160.323	27.2	59.4
chrX	1	156040895	232688	154465249	98.9902	14.7937	44.1	57.5
chrY	1	57227415	11566	18497875	32.3235	2.14778	43.3	23.3
KI270728.1	1	1872759	2246	1548666	82.6944	11.3674	43.9	29.3
KI270727.1	1	448248	462	407590	90.9296	10.1997	44.1	15.8
KI270442.1	1	392061	2177	372104	94.9097	52.9397	43.3	48
KI270729.1	1	280839	1300	269363	95.9137	35.1605	43.2	29.4
GL000225.1	1	211173	7261	211173	100	403.134	45.2	28.9
KI270743.1	1	210658	436	210617	99.9805	18.219	43.6	44.7
GL000008.2	1	209709	887	209705	99.9981	39.3809	42.8	43.3
GL000009.2	1	201709	849	201473	99.883	43.7013	43.5	43.9
KI270747.1	1	198735	289	197547	99.4022	15.9653	45.2	26.6
KI270722.1	1	194050	432	194044	99.9969	22.3562	43.7	54.1
GL000194.1	1	191469	788	191463	99.9969	40.6897	44	45
KI270742.1	1	186739	831	186739	100	39.9156	44	37.7
GL000205.2	1	185591	967	185587	99.9978	54.8849	43.8	50.9
GL000195.1	1	182896	625	182459	99.7611	38.0657	44.1	42.3
KI270736.1	1	181920	1502	169881	93.3823	86.9877	42	20.7
KI270733.1	1	179772	4631	179640	99.9266	213.728	40.4	20.9
GL000224.1	1	179693	1857	179693	100	92.847	43.2	44.7
GL000219.1	1	179198	571	179192	99.9967	30.5017	44.4	53.5
KI270719.1	1	176845	437	176785	99.9661	23.011	43.3	40.1
GL000216.2	1	176608	1853	176445	99.9077	70.9117	43.7	27.8
KI270712.1	1	176043	261	174310	99.0156	9.90966	43.5	32.2
KI270706.1	1	175055	367	175054	99.9994	20.3902	43.8	49
KI270725.1	1	172810	397	172806	99.9977	22.5187	42	50.1
KI270744.1	1	168472	1300	168471	99.9994	47.1805	43	34.9
KI270734.1	1	165050	763	165019	99.9812	27.2373	45.4	19.7
GL000213.1	1	164239	76	160166	97.5201	4.41832	45.6	33.1
GL000220.1	1	161802	6066	146973	90.8351	400.672	41.5	13.2
KI270715.1	1	161471	196	161471	100	12.2099	44.8	19.2
GL000218.1	1	161147	445	161147	100	27.8722	43.9	46.8
KI270749.1	1	158759	479	158755	99.9975	30.5806	42	54.9
