#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	161688	229481274	92.1773	6.4284	44.7	55.9
chr10	1	133797422	91486	131915480	98.5934	6.8264	44.5	57.1
chr11	1	135086622	87865	133919637	99.1361	6.51591	44.2	58.3
chr12	1	133275309	87497	132710825	99.5765	6.50939	44.4	58.6
chr13	1	114364328	63909	97584474	85.3277	5.55529	44.4	58.3
chr14	1	107043718	61166	90082787	84.1551	5.62193	44.3	57.1
chr15	1	101991189	56214	83772135	82.1366	5.50661	44.5	56.3
chr16	1	90338345	61282	81350946	90.0514	6.8226	44.4	55.3
chr17	1	83257441	54671	82063419	98.5659	6.52215	44.6	56.4
chr18	1	80373285	52347	78804883	98.0486	6.44344	44.5	56.3
chr19	1	58617616	39476	58165710	99.2291	6.7178	44.7	54.9
chr2	1	242193529	158716	239280561	98.7973	6.52792	44.4	58.5
chr20	1	64444167	45082	63116694	97.9401	6.89244	44.2	55.2
chr21	1	46709983	31331	39403452	84.3577	6.60194	43.9	48.3
chr22	1	50818468	35281	38592970	75.9428	5.94582	44.4	43.9
chr3	1	198295559	131296	196684277	99.1874	6.54026	44.4	58.7
chr4	1	190214555	137499	188771806	99.2415	7.1828	44.2	54.2
chr5	1	181538259	120559	180509687	99.4334	6.57589	44.3	57.3
chr6	1	170805979	112919	169463305	99.2139	6.58691	44.3	58.8
chr7	1	159345973	104456	158353226	99.377	6.54184	44.5	57.8
chr8	1	145138636	96897	144010706	99.2229	6.66165	44.5	58.1
chr9	1	138394717	81614	119929638	86.6577	5.83794	44.4	56.1
chrM	1	16569	325	16569	100	67.5861	26.9	59.3
chrX	1	156040895	93287	153544634	98.4003	5.95994	44.1	57.5
chrY	1	57227415	4661	11640891	20.3415	0.88874	43.3	23.5
KI270728.1	1	1872759	861	1504794	80.3517	4.19954	44	29.2
KI270727.1	1	448248	192	314092	70.071	4.40275	44.2	16.9
KI270442.1	1	392061	876	371879	94.8523	21.4766	42.9	47.1
KI270729.1	1	280839	503	265940	94.6948	13.4068	43.2	29
GL000225.1	1	211173	2985	209648	99.2778	166.099	45.4	29
KI270743.1	1	210658	174	208152	98.8104	6.6546	43.2	42.9
GL000008.2	1	209709	373	209687	99.9895	16.8006	42	42.8
GL000009.2	1	201709	345	195679	97.0105	18.0007	44.4	44.5
KI270747.1	1	198735	112	195383	98.3133	5.8701	45	26
KI270722.1	1	194050	168	190709	98.2783	8.5469	43.3	54.4
GL000194.1	1	191469	321	191460	99.9953	16.8824	43.8	45.2
KI270742.1	1	186739	345	186739	100	16.2603	44.1	37.9
GL000205.2	1	185591	375	176361	95.0267	20.7604	44.1	50.7
GL000195.1	1	182896	234	182303	99.6758	13.5234	44.3	40.3
